	Swamp	Coast	City	Desert	Mountain	Volcano	Haunted
Flaming	3	2	3	0	0	4	1
Burning	3	2	3	0	0	4	1
Hot	3	2	3	0	0	4	1
Fiery	3	2	3	0	0	4	1
Molten	3	2	3	0	0	4	1
Spicy	3	2	3	0	0	4	1
Caliente	3	2	3	0	0	4	1
"Hot as Hell"	3	2	3	0	0	4	1
5 Alarm	3	2	3	0	0	4	1
Lava	3	2	3	0	0	4	1
Furnace	3	2	3	0	0	4	1
Scorching	3	2	3	0	0	4	1
Incinerating	3	2	3	0	0	4	1
Annihilating	3	2	3	0	0	4	1
White-hot	3	2	3	0	0	4	1
Slimey	4	1	0	4	1	0	0
Gross	4	1	0	4	1	0	0
Syrupy	4	1	0	4	1	0	0
Gooey	4	1	0	4	1	0	0
Sticky	4	1	0	4	1	0	0
Adhesive	4	1	0	4	1	0	0
Mud	4	1	0	4	1	0	0
Oily	4	1	0	4	1	0	0
Greasy	4	1	0	4	1	0	0
Well-lubricated	4	1	0	4	1	0	0
Slick	4	1	0	4	1	0	0
Gelatinous	4	1	0	4	1	0	0
Viscous	4	1	0	4	1	0	0
Oozy	4	1	0	4	1	0	0
Mucous	4	1	0	4	1	0	0
Damp	4	1	1	4	2	1	0
Wet	4	1	1	4	2	1	0
Soggy	4	1	1	4	2	1	0
Moist	4	1	1	4	2	1	0
Clammy	4	1	1	4	2	1	0
Dank	4	1	1	4	2	1	0
Waterlogged	4	1	1	4	2	1	0
Thoroughly Hydrated	4	1	1	4	2	1	0
Watery	4	1	1	4	2	1	0
Dripping	4	1	1	4	2	1	0
Muggy	4	1	1	4	2	1	0
Humid	4	1	1	4	2	1	0
Soaked	4	1	1	4	2	1	0
Swamp	4	1	1	4	2	1	0
Marshy	4	1	1	4	2	1	0
Shocking	1	0	4	3	4	1	3
Electric	1	0	4	3	4	1	3
Dynamic	1	0	4	3	4	1	3
High Yield	1	0	4	3	4	1	3
Energetic	1	0	4	3	4	1	3
Surging	1	0	4	3	4	1	3
Plasmatic	1	0	4	3	4	1	3
Static	1	0	4	3	4	1	3
Fulminating	1	0	4	3	4	1	3
Juiced	1	0	4	3	4	1	3
Charged	1	0	4	3	4	1	3
Buzzing	1	0	4	3	4	1	3
Blasting	1	0	4	3	4	1	3
Sparking	1	0	4	3	4	1	3
Arcing	1	0	4	3	4	1	3
Fanciful	1	3	0	4	1	2	1
Whimsical	1	3	0	4	1	2	1
Fantastic	1	3	0	4	1	2	1
Entertaining	1	3	0	4	1	2	1
Superb	1	3	0	4	1	2	1
Fun	1	3	0	4	1	2	1
Amusing	1	3	0	4	1	2	1
Humorous	1	3	0	4	1	2	1
Applause-worthy	1	3	0	4	1	2	1
Performing	1	3	0	4	1	2	1
Colourful	1	3	0	4	1	2	1
Funny	1	3	0	4	1	2	1
Prankster	1	3	0	4	1	2	1
Silly	1	3	0	4	1	2	1
Topsy-turvy	1	3	0	4	1	2	1
Glowing	3	2	0	4	2	3	3
Humming	3	2	0	4	2	3	3
Mystical	3	2	0	4	2	3	3
Luminous	3	2	0	4	2	3	3
Vivid	3	2	0	4	2	3	3
Suffused	3	2	0	4	2	3	3
Neon	3	2	0	4	2	3	3
Mysterious	3	2	0	4	2	3	3
Phosphorescent	3	2	0	4	2	3	3
Lustrous	3	2	0	4	2	3	3
Moon-like	3	2	0	4	2	3	3
Otherworldly	3	2	0	4	2	3	3
Glow-in-the-dark	3	2	0	4	2	3	3
Unmistakable	3	2	0	4	2	3	3
Ominous	3	2	0	4	2	3	3
Old	1	3	4	3	4	1	3
Worn	1	3	4	3	4	1	3
Ancient	1	3	4	3	4	1	3
Aged	1	3	4	3	4	1	3
Rusty	1	3	4	3	4	1	3
Worse-for-wear	1	3	4	3	4	1	3
Experienced	1	3	4	3	4	1	3
Senile	1	3	4	3	4	1	3
Ripened	1	3	4	3	4	1	3
Mature	1	3	4	3	4	1	3
Elder	1	3	4	3	4	1	3
Geriatric	1	3	4	3	4	1	3
Perfected	1	3	4	3	4	1	3
Decrepit	1	3	4	3	4	1	3
Tired	1	3	4	3	4	1	3
Frightening	3	2	0	1	2	2	4
Scary	3	2	0	1	2	2	4
Terrifying	3	2	0	1	2	2	4
Horrifying	3	2	0	1	2	2	4
Spooky	3	2	0	1	2	2	4
Eerie	3	2	0	1	2	2	4
Creepy	3	2	0	1	2	2	4
Hair-raising	3	2	0	1	2	2	4
Bone-chilling	3	2	0	1	2	2	4
Horrendous	3	2	0	1	2	2	4
Intimidating	3	2	0	1	2	2	4
Imposing	3	2	0	1	2	2	4
Dire	3	2	0	1	2	2	4
Dread	3	2	0	1	2	2	4
Ghastly	3	2	0	1	2	2	4
Terrible	3	2	0	1	2	2	4
No-good	3	2	0	1	2	2	4
Evil	3	2	0	1	2	2	4
Villanous	3	2	0	1	2	2	4
Low	3	2	0	1	2	2	4
Superbad	3	2	0	1	2	2	4
Abominable	3	2	0	1	2	2	4
Unholy	3	2	0	1	2	2	4
Despicable	3	2	0	1	2	2	4
Truly Unrepentant	3	2	0	1	2	2	4
Unethical	3	2	0	1	2	2	4
Morally-bankrupt	3	2	0	1	2	2	4
Deplorable	3	2	0	1	2	2	4
Wretched	3	2	0	1	2	2	4
Awful	3	2	0	1	2	2	4
Foul	4	1	0	1	1	2	3
Stinky	4	1	0	1	1	2	3
Stanky	4	1	0	1	1	2	3
Unwashed	4	1	0	1	1	2	3
Diseased	4	1	0	1	1	2	3
Sickening	4	1	0	1	1	2	3
Ugly	4	1	0	1	1	2	3
Hideous	4	1	0	1	1	2	3
Fetid	4	1	0	1	1	2	3
