	Swamp	Coast	City	Desert	Mountain	Volcano	Haunted
Feet	3	2	4	1	1	1	0
Shoes	3	2	4	1	1	1	0
Boots	3	2	4	1	1	1	0
Paws	3	2	4	1	1	1	0
Rock	1	0	4	3	4	3	0
Stone	1	0	4	3	4	3	0
Pebbles	1	0	4	3	4	3	0
Boulder	1	0	4	3	4	3	0
Ball	3	3	1	3	1	2	2
Sphere	3	3	1	3	1	2	2
Orbs	3	3	1	3	1	2	2
Circle	3	3	1	3	1	2	2
Eye	3	2	0	1	1	1	4
Visions	3	2	0	1	1	1	4
Revelation	3	2	0	1	1	1	4
Sight	3	2	0	1	1	1	4
Pinkie	2	2	3	1	1	1	2
Finger	2	2	3	1	1	1	2
Touch	2	2	3	1	1	1	2
Embrace	2	2	3	1	1	1	2
Butt	2	2	3	1	2	3	0
Rear	2	2	3	1	2	3	0
Bottom	2	2	3	1	2	3	0
Posterior	2	2	3	1	2	3	0
Wheels	0	3	3	1	1	2	4
Rings	0	3	3	1	1	2	4
Toroid	0	3	3	1	1	2	4
Hoop	0	3	3	1	1	2	4
Box	2	3	4	2	2	2	4
Case	2	3	4	2	2	2	4
Container	2	3	4	2	2	2	4
Packsack	2	3	4	2	2	2	4
Feast	1	3	3	4	4	2	2
Meal	1	3	3	4	4	2	2
Sustenance	1	3	3	4	4	2	2
Beans	1	3	3	4	4	2	2
Skull	3	1	3	1	1	2	4
Skeleton	3	1	3	1	1	2	4
Bones	3	1	3	1	1	2	4
Femur	3	1	3	1	1	2	4
Blade	1	1	4	3	1	1	2
Sword	1	1	4	3	1	1	2
Axe	1	1	4	3	1	1	2
Knives	1	1	4	3	1	1	2
Spike	1	0	4	2	4	2	3
Needle	1	0	4	2	4	2	3
Pin	1	0	4	2	4	2	3
Pointy Stick	1	0	4	2	4	2	3
Tools	2	3	4	2	2	2	0
Hammer	2	3	4	2	2	2	0
Screws	2	3	4	2	2	2	0
Wrench	2	3	4	2	2	2	0
Ward	0	3	3	2	3	4	0
Shield	0	3	3	2	3	4	0
Armour	0	3	3	2	3	4	0
Helmet	0	3	3	2	3	4	0
